query,label,score
What bills have we noted but not paid yet as of last month?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are we saving enough for future costs like repairs?,Provisions can be defined as Funds set aside for future liabilities or losses.,1
Are we saving enough for future costs like repairs?,Provisions can be defined as Liabilities of uncertain timing or amount (AS 29 / Ind AS 37).,1
Are we saving enough for future costs like repairs?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Are we saving enough for future costs like repairs?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Are we saving enough for future costs like repairs?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Could we owe money later depending on things like lawsuits?,Contingent Liabilities can be defined as Potential obligations depending on future events.,1
Could we owe money later depending on things like lawsuits?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Could we owe money later depending on things like lawsuits?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Could we owe money later depending on things like lawsuits?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What chunk of our sales is profit after making our products this quarter?,Gross Profit Margin can be defined as Measures profitability after direct costs.,1
What chunk of our sales is profit after making our products dis quater?,Gross Profit Margin can be defined as Measures profitability after direct costs.,1
What chunk of our sales is profit after making our products this quarter?,Return on Equity (ROE) can be defined as Profitability for owners.,0
What chunk of our sales is profit after making our products this quarter?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What chunk ov our sales is provit after making our products dis quater?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What chunk of our sales is profit after making our products this quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What chunk of our sales is profit after making our products dis quater?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much of each sale stays with us after regular costs in 2024?,Operating Profit Margin can be defined as Profit from operations as a % of revenue.,1
How much of each sale stays with us after regular costs in 2024?,Return on Equity (ROE) can be defined as Profitability for owners.,0
How much of each sale stays with us after regular costs in 2024?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much of each sale stays with us after regular costs in 2024?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much ov each sale stays with us after regular costs in 2024?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s our real profit percentage from all sales last year?,Net Profit Margin can be defined as Bottom-line profitability.,1
What’s our real profit percentage from all sales last year?,Return on Equity (ROE) can be defined as Profitability for owners.,0
What’s our real provit percentage from all sales last year?,Return on Equity (ROE) can be defined as Profitability for owners.,0
What’s our real profit percentage from all sales last year?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What’s our real profit percentage from all sales last year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are we making good money from the things we own this year?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,1
Are we making good money from da things we own this year?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,1
Are we making good money from the things we own this year?,Net Profit Margin can be defined as Bottom-line profitability.,0
Are we making good money from the things we own this year?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Are we making good money from the things we own this year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much are shareholders earning from their investment last quarter?,Return on Equity (ROE) can be defined as Profitability for owners.,1
How much are shareholders earning from dair investment last quarter?,Return on Equity (ROE) can be defined as Profitability for owners.,1
How much are shareholders earning from their investment last quarter?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much are shareholders earning from their investment last quarter?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much are shareholders earning from dair investment last quarter?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much are shareholders earning from their investment last quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are we using our money wisely to make profits this year?,Return on Capital Employed (ROCE) can be defined as Efficiency of capital usage.,1
Are we using our money wisely to make profits this year?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Are we using our money wisely to make profits this year?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are we using our money wisely 2 make provits this year?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are we using our money wisely 2 make profits this year?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are we using our money wisely to make profits this year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are we using our money wisely to make proffits this year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What part of our sales is profit before taxes and wear-and-tear costs this month?,EBITDA Margin can be defined as Operating performance before non-cash items.,1
What part ov our sales is provit before taxes and wear-and-tear costs this month?,EBITDA Margin can be defined as Operating performance before non-cash items.,1
What part of our sales is proffit before taxes and wear-and-tear costs this month?,EBITDA Margin can be defined as Operating performance before non-cash items.,1
What part of our sales is profit before taxes and wear-and-tear costs this month?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What part of our sales is profit before taxes and wear-and-tear costs this month?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What part ov our sales is provit before taxes and wear-and-tear costs this month?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What part of our sales is proffit before taxes and wear-and-tear costs this month?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What part of our sales is profit before taxes and wear-and-tear costs this month?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What part of our sales is proffit before taxes and wear-and-tear costs this month?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Can we pay off our short-term bills easily right now?,Current Ratio can be defined as Measures short-term liquidity.,1
Can we pay off our short-term bills easily right now?,Net Profit Margin can be defined as Bottom-line profitability.,0
Can we pay off our short-term bills easily right now?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Can we pay off our short-term bills easily right now?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"Without counting our stock, can we cover what we owe soon?",Quick Ratio (Acid Test) can be defined as More stringent liquidity test.,1
"Without counting our stock, can we cover what we owe soon?",Net Profit Margin can be defined as Bottom-line profitability.,0
"Without counting our stock, can we cover what we owe soon?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"Without counting our stock, can we cover what we owe soon?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"Without counting our s2ck, can we cover what we owe soon?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much cash do we have to handle bills due this month?,Cash Ratio can be defined as Most conservative liquidity measure.,1
How much cash do we have to handle bills due this month?,Net Profit Margin can be defined as Bottom-line profitability.,0
How much cash do we have 2 handle bills due this month?,Net Profit Margin can be defined as Bottom-line profitability.,0
How much cash do we have to handle bills due this month?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much cash do we have to handle bills due this month?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are we selling our products fast enough compared to what’s in stock?,Inventory Turnover can be defined as How quickly inventory is sold.,1
Are we selling our products fast enough compared to what’s in stock?,Net Profit Margin can be defined as Bottom-line profitability.,0
Are we selling our products fast enough compared to what’s in stock?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Are we selling our products fast enough compared to what’s in stock?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are customers paying us faster than they did last year?,Receivables Turnover can be defined as How efficiently receivables are collected.,1
Are customers paying us faster than they did last year?,Net Profit Margin can be defined as Bottom-line profitability.,0
Are customers paying us faster than they did last year?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are customers paying us faster than they did last yr?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are customers paying us faster than they did last year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How often are we paying our suppliers this quarter?,Payables Turnover can be defined as How quickly payables are paid.,1
How often are we paying our suppliers this quarter?,Net Profit Margin can be defined as Bottom-line profitability.,0
How often are we paying our suppliers this quarter?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
How often are we paying our suppliers dis quater?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
How often are we paying our suppliers this quarter?,Deferred Tax Assets can be defined as Future tax benefits from deductible temporary differences,0
Are we using what we own to boost sales well?,Asset Turnover can be defined as How efficiently assets are used.,1
Are we using what we own to boost sales well?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Are we using what we own to boost sales well?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are we using what we own to boost sales well?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are our short-term resources helping us sell more?,Working Capital Turnover can be defined as Efficiency in using working capital.,1
Are our short-term resources helping us sell more?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Are our short-term resources helping us sell more?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are our short-term resources helping us sell more?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Do we owe more than what we’ve put into the company?,Debt-to-Equity Ratio can be defined as Financial leverage.,1
Do we owe more than what we’ve put into the company?,Net Profit Margin can be defined as Bottom-line profitability.,0
Do we owe more than what we’ve put into the company?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Do we owe more than what we’ve put into the company?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much of what we own comes from borrowed money?,Debt Ratio can be defined as Proportion of assets financed by debt.,1
How much ov what we own comes from borrowed money?,Debt Ratio can be defined as Proportion of assets financed by debt.,1
How much of what we own comes from borrowed money?,Net Profit Margin can be defined as Bottom-line profitability.,0
How much of what we own comes from borrowed money?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
How much of what we own comes from borrowed money?,Deferred Tax Assets can be defined as Future tax benefits from deductible temporary differences,0
How much ov what we own comes from borrowed money?,Deferred Tax Assets can be defined as Future tax benefits from deductible temporary differences,0
Can we handle the interest on our loans comfortably?,Interest Coverage Ratio can be defined as Ability to pay interest on debt.,1
Can we handle da interest on our loans comfortably?,Interest Coverage Ratio can be defined as Ability to pay interest on debt.,1
Can we handle the interest on our loans comfortably?,Net Profit Margin can be defined as Bottom-line profitability.,0
Can we handle the interest on our loans comfortably?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Can we handle da interest on our loans comfortably?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Can we handle the interest on our loans com4tably?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Can we handle the interest on our loans comfortably?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Can we handle the interest on our loans com4tably?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much of the company really belongs to the owners?,Equity Ratio can be defined as Portion of assets funded by equity.,1
How much of the company really belongs to the owners?,Net Profit Margin can be defined as Bottom-line profitability.,0
How much of da company really belongs to da owners?,Net Profit Margin can be defined as Bottom-line profitability.,0
How much of the company really belongs to the owners?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much of da company really belongs to da owners?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much of the company really belongs to the owners?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the split between borrowed money and our own funds?,Capital Gearing Ratio can be defined as Proportion of debt in capital structure.,1
What’s the split between borrowed money and our own funds?,Net Profit Margin can be defined as Bottom-line profitability.,0
What’s the split between borrowed money and our own funds?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
What’s the split between borrowed money and our own funds?,Deferred Tax Assets can be defined as Future tax benefits from deductible temporary differences,0
How much is each share earning us this year?,Earnings Per Share (EPS) can be defined as Net profit divided by the number of outstanding shares.,1
How much is each share earning us this year?,Earnings Per Share (EPS) can be defined as Profit attributable per share.,1
How much is each share earning us this year?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much is each share earning us this year?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much is each share earning us this year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Are people paying a lot for our stock compared to profits?,Price-to-Earnings (P/E) Ratio can be defined as Valuation relative to earnings.,1
Are people paying a lot for our stock compared to proffits?,Price-to-Earnings (P/E) Ratio can be defined as Valuation relative to earnings.,1
Are people paying a lot for our stock compared to provits?,Price-to-Earnings (P/E) Ratio can be defined as Valuation relative to earnings.,1
Are people paying a lot for our stock compared to profits?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Are people paying a lot for our stock compared to provits?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Are people paying a lot for our stock compared to profits?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are people paying a lot for our stock compared to proffits?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Are people paying a lot for our stock compared to profits?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Is our stock worth more than what we actually own per share?,Price-to-Book (P/B) Ratio can be defined as Market value vs. net asset value.,1
Is our stock worth more than what we actually own per share?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Is our stock worth more than what we actually own per share?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
Is our stock worth more than what we actually own per share?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Is our s2ck worth more than what we actually own per share?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the payout to investors from dividends right now?,Dividend Yield can be defined as Cash return from dividends.,1
What’s the payout to investors from dividends right now?,Net Profit Margin can be defined as Bottom-line profitability.,0
What’s the payout to investors from dividends right now?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What’s the payout 2 inves2rs from dividends right now?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
What’s the payout to investors from dividends right now?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the payout 2 inves2rs from dividends right now?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much of our earnings are we giving out to shareholders?,Dividend Payout Ratio can be defined as % of earnings distributed as dividends.,1
How much ov our earnings are we giving out to shareholders?,Dividend Payout Ratio can be defined as % of earnings distributed as dividends.,1
How much of our earnings are we giving out to shareholders?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much of our erning are we giving out to shareholders?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much of our earnings are we giving out to shareholders?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much of our erning are we giving out to shareholders?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much of our earnings are we giving out to shareholders?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"What’s the total worth of our company, debts included?",Enterprise Value (EV) can be defined as Total company value.,1
"What’s the 2tal worth of our company, debts included?",Enterprise Value (EV) can be defined as Total company value.,1
"What’s da total worth of our company, debts included?",Enterprise Value (EV) can be defined as Total company value.,1
"What’s the total worth of our company, debts included?",Net Profit Margin can be defined as Bottom-line profitability.,0
"What’s the 2tal worth of our company, debts included?",Net Profit Margin can be defined as Bottom-line profitability.,0
"What’s the total worth of our company, debts included?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"What’s the total worth of our company, debts included?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How does our value stack up against profits before taxes and depreciation?,EV/EBITDA can be defined as Company valuation relative to EBITDA,1
How does our value stack up against profits before taxes and depreciation?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How does our value stack up against proffits before taxes and depreciation?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How does our value stack up against profits before taxes and depreciation?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How does our valeu stack up against profits before taxes and depreciation?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How does our value stack up against provits before taxes and depreciation?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How does our value stack up against profits before taxes and depreciation?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the value of our buildings and machines right now?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",1
What’s da value of our buildings and machines right now?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",1
What’s the value of our buildings and machines right now?,Net Profit Margin can be defined as Bottom-line profitability.,0
What’s the value of our buildings and machines right now?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
What’s da value of our buildings and machines right now?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
What’s the value of our buildings and machines right now?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the valeu of our buildings and machines right now?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much are things like our patents worth?,"Intangible Assets can be defined as Identifiable non-monetary assets without physical substance, such as software, patents, etc.,",1
How much are things like our patents worth?,Net Profit Margin can be defined as Bottom-line profitability.,0
How much are things like our patents worth?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much are things like our patents worth?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the value of properties we’re holding to rent or sell?,Investment Property can be defined as Property held to earn rentals or for capital appreciation,1
What’s the valeu of properties we’re holding to rent or sell?,Investment Property can be defined as Property held to earn rentals or for capital appreciation,1
What’s the value ov properties we’re holding to rent or sell?,Investment Property can be defined as Property held to earn rentals or for capital appreciation,1
What’s the value of properties we’re holding to rent or sell?,Net Profit Margin can be defined as Bottom-line profitability.,0
