NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
Can you tell me what was the Dividend Yield last year?,Dividend Yield,Dividend Yield,2.3219
What was the Dividend Yield in the last quarter?,Dividend Yield,Dividend Yield,2.1819
Can you tell me what was the Dividend Payout Ratio last year?,Dividend Payout Ratio,Dividend Payout Ratio,4.1111
How much was the Dividend Payout Ratio during the last quarter?,Dividend Payout Ratio,Dividend Payout Ratio,1.1098
Can you tell me what was the Enterprise Value (EV) last year?,Enterprise Value (EV),Enterprise Value (EV),4.1436
How much was the EV during the last quarter?,Enterprise Value (EV),Enterprise Value (EV),-6.7453
Can you tell me what was the EV/EBITDA last year?,EV/EBITDA,EV/EBITDA,1.117
Could you share the EV/EBITDA for the last quarter?,EV/EBITDA,EV/EBITDA,-3.1601
"Can you tell me what was the Property, Plant and Equipment (PPE) last year?","Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",4.7354
Could you share the PPE for the last quarter?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",-5.7117
Can you tell me what was the Intangible Assets last year?,Intangible Assets,Intangible Assets,2.0416
How much was the Intangible Assets during the last quarter?,Intangible Assets,Intangible Assets,-4.1342
Can you tell me what was the Investment Property last year?,Investment Property,Investment Property,-0.0816
Could you share the Investment Property for the last quarter?,Investment Property,Investment Property,-5.3205
Can you tell me what was the Financial Assets last year?,Financial Assets,Financial Assets,-0.3733
Give me the Financial Assets figure for the last quarter.,Financial Assets,Financial Assets,-5.7419
Can you tell me what was the Inventories last year?,Inventories,Inventories,-1.6274
Can you provide the Inventories amount for the last quarter?,Inventories,Inventories,-7.1578
Can you tell me what was the Deferred Tax Assets last year?,Deferred Tax Assets,Deferred Tax Assets,3.0281
I'd like to know the Deferred Tax Assets from the last quarter.,Deferred Tax Assets,Deferred Tax Assets,-0.6188
Can you tell me what was the Borrowings last year?,Borrowings,Borrowings,-1.7313
Can you provide the Borrowings amount for the last quarter?,Borrowings,Borrowings,-7.881
Can you tell me what was the Trade Payables last year?,Trade Payables,Trade Payables,2.0772
Can you provide the Trade Payables amount for the last quarter?,Trade Payables,Trade Payables,-1.589
Can you tell me what was the Provisions last year?,Provisions,Provisions,-1.5316
Can you provide the Provisions amount for the last quarter?,Provisions,Provisions,-3.6583
Can you tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities,Deferred Tax Liabilities,4.5529
Can you provide the Deferred Tax Liabilities amount for the last quarter?,Deferred Tax Liabilities,Deferred Tax Liabilities,1.2438
Can you tell me what was the Other Financial Liabilities last year?,Other Financial Liabilities,Other Financial Liabilities,2.6445
How much was the Other Financial Liabilities during the last quarter?,Other Financial Liabilities,Other Financial Liabilities,-4.0881
Can you tell me what was the Share Capital last year?,Share Capital,Share Capital,0.3236
Can you provide the Share Capital amount for the last quarter?,Share Capital,Share Capital,-4.421
Can you tell me what was the Other Equity / Reserves & Surplus last year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,5.3506
How much was the Other Equity / Reserves & Surplus during the last quarter?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,0.1508
