NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
Give me Provisions figure for last quater?,Provisions,Provisions,-7.3217
Wat was the Contingent Liabilities last quarter?,Contingent Liabilities,Contingent Liabilities,-0.6987
I wanna know the Gross Profit Margin for the last quarter.,Gross Profit Margin,Gross Profit Margin,-1.3428
Can you pls tel me Operating Profit Margin from last year?,Operating Profit Margin,Operating Profit Margin,-3.9514
What's was the Net Profit Margin last quarter?,Net Profit Margin,Net Profit Margin,1.4418
I wanna know the Return on Assets (ROA) for the last quarter.,Return on Assets (ROA),Return on Assets (ROA),1.4571
Can u tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE),Return on Equity (ROE),3.1817
How much was Return on Capital Employed (ROCE) last quater?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),1.4469
Wat was the EBITDA Margin last quarter?,EBITDA Margin,EBITDA Margin,-2.3668
Can you pls tel me Current Ratio from last year?,Current Ratio,Current Ratio,-5.2234
Give me Quick Ratio (Acid Test) figure for last quater?,Quick Ratio (Acid Test),Quick Ratio (Acid Test),1.041
What's was the Cash Ratio last quarter?,Cash Ratio,Cash Ratio,0.4506
Wat was the Inventory Turnover last quarter?,Inventory Turnover,Inventory Turnover,-2.6421
I wanna know the Receivables Turnover for the last quarter.,Receivables Turnover,Receivables Turnover,-0.9498
Wat was the Payables Turnover last quarter?,Payables Turnover,Payables Turnover,-1.3881
I wanna know the Asset Turnover for the last quarter.,Asset Turnover,Asset Turnover,-2.2495
Can you pls tel me Working Capital Turnover from last year?,Working Capital Turnover,Working Capital Turnover,-3.3409
Tell me the Debt-to-Equity Ratio last yr?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.5491
Can u tell me what was the Debt Ratio last year?,Debt Ratio,Debt Ratio,1.5337
Wat was the Interest Coverage Ratio last quarter?,Interest Coverage Ratio,Interest Coverage Ratio,-0.3701
How much was Equity Ratio last quater?,Equity Ratio,Equity Ratio,-4.2735
Wat was the Capital Gearing Ratio last quarter?,Capital Gearing Ratio,Capital Gearing Ratio,-0.5785
Tell me the Price-to-Earnings (P/E) Ratio last yr?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,3.1472
Can u tell me what was the Price-to-Book (P/B) Ratio last year?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,4.0422
I wanna know the Dividend Yield for the last quarter.,Dividend Yield,Dividend Yield,-2.1948
Can yu share what was the Dividend Payout Ratio last year?,Dividend Payout Ratio,Dividend Payout Ratio,-0.9306
How much was Enterprise Value (EV) last quater?,Enterprise Value (EV),Enterprise Value (EV),0.2855
Wat was the EV/EBITDA last quarter?,EV/EBITDA,EV/EBITDA,-2.0577
"Wat was the Property, Plant and Equipment (PPE) last quarter?","Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",2.8513
Can you pls tel me Intangible Assets from last year?,Intangible Assets,Intangible Assets,-4.541
Give me Investment Property figure for last quater?,Investment Property,Investment Property,-7.0472
Tell me the Financial Assets last yr?,Financial Assets,Financial Assets,-4.3609
What's was the Inventories last quarter?,Inventories,Inventories,-3.0234
Wat was the Deferred Tax Assets last quarter?,Deferred Tax Assets,Deferred Tax Assets,-0.9851
Wat was the Borrowings last quarter?,Borrowings,Borrowings,-8.1676
I wanna know the Trade Payables for the last quarter.,Trade Payables,Trade Payables,-2.6899
Can u tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities,Deferred Tax Liabilities,3.8339
Give me Other Financial Liabilities figure for last quater?,Other Financial Liabilities,Other Financial Liabilities,-3.4225
Can u tell me what was the Share Capital last year?,Share Capital,Share Capital,-0.6525
Can you tell me what is the Other Equity / Reserves & Surplus last year?,Other Equity / Reserves & Surplus,Other Equity / Reserves & Surplus,5.6639
